"ff","Dim2","rr","Val"
"lab","frs","CAN",0.157310641970993
"lab","frs","USA",0.151233900381104
"lab","frs","MEX",0.0535049737061901
"lab","frs","BRA",0.258365215018211
"lab","frs","RUS",0.273285573671841
"lab","frs","LAM",0.0793998338393047
"lab","frs","EUR",0.381404747654776
"lab","frs","ROE",0.124118756539181
"lab","frs","ASI",0.0130925581802493
"lab","frs","REA",0.0164740026736131
"lab","frs","ANZ",0.0416404011738263
"lab","frs","MES",0.172613750775234
"lab","frs","AFR",0.0791952285205003
"lab","frs","IDZ",0.0159198715346028
"lab","fsh","CHN",9.52579356566275E-5
"lab","fsh","JPN",0.192801907614335
"lab","fsh","KOR",0.0482197975767363
"lab","fsh","TWN",0.161727148213065
"lab","fsh","IND",0.000565315426273006
"lab","fsh","CAN",0.157310598197568
"lab","fsh","USA",0.151233974655854
"lab","fsh","MEX",0.0535049343546302
"lab","fsh","BRA",0.258365227022884
"lab","fsh","RUS",0.273285521927767
"lab","fsh","LAM",0.0685806246380686
"lab","fsh","EUR",0.34896511251006
"lab","fsh","ROE",0.110838133760244
"lab","fsh","ASI",0.0077022852038911
"lab","fsh","REA",0.0156190023032217
"lab","fsh","ANZ",0.0405760657807543
"lab","fsh","MES",0.191833196126104
"lab","fsh","AFR",0.104437362565407
"lab","fsh","IDZ",0.015919915968719
"lab","coa","KOR",0.0482198015643692
"lab","coa","IND",0.000565308059662886
"lab","coa","CAN",0.157310581456769
"lab","coa","USA",0.151233987622499
"lab","coa","MEX",0.0535049800899194
"lab","coa","BRA",0.258365216382753
"lab","coa","RUS",0.273285508080483
"lab","coa","LAM",0.00839691223100942
"lab","coa","EUR",0.387495304272303
"lab","coa","ROE",0.190537892766275
"lab","coa","ASI",0.0124872091686468
"lab","coa","REA",0.109218305052681
"lab","coa","ANZ",0.0414746681076836
"lab","coa","MES",0.14453232353942
"lab","coa","AFR",0.0313198775900639
"lab","coa","IDZ",0.0159198940566629
"lab","oil","IND",0.000565317081906833
"lab","oil","CAN",0.157310586266306
"lab","oil","USA",0.151233927248392
"lab","oil","MEX",0.053504934153349
"lab","oil","BRA",0.258365265338283
"lab","oil","RUS",0.273285543418898
"lab","oil","LAM",0.0505505270104552
"lab","oil","EUR",0.269069821500035
"lab","oil","ROE",0.187978193262451
"lab","oil","ASI",0.013429534502557
"lab","oil","REA",0.0440331978680407
"lab","oil","ANZ",0.0411176225270401
"lab","oil","MES",0.317134963953407
"lab","oil","AFR",0.12523797556828
"lab","oil","IDZ",0.0159199403957276
"lab","gas","JPN",0.192801874333696
"lab","gas","KOR",0.0482197838566802
"lab","gas","TWN",0.161727074889244
"lab","gas","IND",0.000565306168593049
"lab","gas","CAN",0.157310595868009
"lab","gas","USA",0.151233916711965
"lab","gas","MEX",0.0535049731048568
"lab","gas","BRA",0.258365259784117
"lab","gas","RUS",0.273285535928527
"lab","gas","LAM",0.0499276593016538
"lab","gas","EUR",0.348682797133079
"lab","gas","ROE",0.189300858057157
"lab","gas","ASI",0.0137495069766347
"lab","gas","REA",0.0417181442598494
"lab","gas","ANZ",0.043697359059023
"lab","gas","MES",0.222794918169199
"lab","gas","AFR",0.046015498557337
"lab","gas","IDZ",0.0159199252008468
"lab","omn","CHN",0.00352184097979843
"lab","omn","JPN",0.1928018766873
"lab","omn","KOR",0.0482197840746528
"lab","omn","TWN",0.161727152052181
"lab","omn","IND",0.000565289254284671
"lab","omn","CAN",0.157310588603232
"lab","omn","USA",0.151233887417475
"lab","omn","MEX",0.0535049886004334
"lab","omn","BRA",0.258365224372874
"lab","omn","RUS",0.273285551270346
"lab","omn","LAM",0.0485509480044627
"lab","omn","EUR",0.377393491112512
"lab","omn","ROE",0.086325288912382
"lab","omn","ASI",0.0107378945777848
"lab","omn","REA",0.0231802088796823
"lab","omn","ANZ",0.0430839521785499
"lab","omn","MES",0.243398723690696
"lab","omn","AFR",0.0429065421609897
"lab","omn","IDZ",0.0159198853248212
"lab","cmt","CHN",0.00123304027134923
"lab","cmt","JPN",0.192801931456737
"lab","cmt","KOR",0.0482198031750551
"lab","cmt","TWN",0.161727090642475
"lab","cmt","IND",0.00056532693969211
"lab","cmt","CAN",0.157310596546447
"lab","cmt","USA",0.151233940947798
"lab","cmt","MEX",0.0535049561868043
"lab","cmt","BRA",0.258365182114539
"lab","cmt","RUS",0.273285569691012
"lab","cmt","LAM",0.0789799465526279
"lab","cmt","EUR",0.369200157542334
"lab","cmt","ROE",0.10205245153449
"lab","cmt","ASI",0.00749480752931739
"lab","cmt","REA",0.0306267408885303
"lab","cmt","ANZ",0.0306680323894049
"lab","cmt","MES",0.290505113489347
"lab","cmt","AFR",0.131127698465246
"lab","cmt","IDZ",0.0159199191739389
"lab","omt","CHN",0.000666190142555845
"lab","omt","JPN",0.192801941641744
"lab","omt","KOR",0.0482197965992448
"lab","omt","TWN",0.16172714693881
"lab","omt","IND",0.00056528834606777
"lab","omt","CAN",0.157310533245204
"lab","omt","USA",0.15123391971621
"lab","omt","MEX",0.0535049502692691
"lab","omt","BRA",0.25836523685898
"lab","omt","RUS",0.273285517110506
"lab","omt","LAM",0.0680533243401648
"lab","omt","EUR",0.340897083794425
"lab","omt","ROE",0.117930130391476
"lab","omt","ASI",0.00923735055622606
"lab","omt","REA",0.0199718656951831
"lab","omt","ANZ",0.0356482308200596
"lab","omt","MES",0.220413865627498
"lab","omt","AFR",0.0606096326437897
"lab","omt","IDZ",0.0159198808385089
"lab","vol","JPN",0.192801897747126
"lab","vol","KOR",0.0482198097766519
"lab","vol","TWN",0.161727063203802
"lab","vol","IND",0.000565274980895899
"lab","vol","CAN",0.157310583563857
"lab","vol","USA",0.151233943702684
"lab","vol","MEX",0.053505001610697
"lab","vol","BRA",0.258365269955175
"lab","vol","RUS",0.273285605161323
"lab","vol","LAM",0.080665756976345
"lab","vol","EUR",0.357161652084694
"lab","vol","ROE",0.127455273475365
