"ii","rr","ss","Val"
"v_f","RUS","CAN",1.4255666876295E-5
"v_f","RUS","USA",0.00395489215685974
"v_f","RUS","LAM",0.0165620828418608
"v_f","RUS","EUR",0.0210144305075258
"v_f","RUS","ROE",0.0917364228245994
"v_f","RUS","ASI",0.00845960974828112
"v_f","RUS","REA",0.0204364959337207
"v_f","RUS","MES",0.0568006655442668
"v_f","RUS","AFR",0.0315056769888168
"v_f","RUS","IDZ",0.0471570625380011
"v_f","LAM","CHN",0.0228389505306611
"v_f","LAM","JPN",0.0736985881038402
"v_f","LAM","KOR",0.302520713156215
"v_f","LAM","TWN",0.18890354169074
"v_f","LAM","IND",0.430633104572181
"v_f","LAM","CAN",0.00378808874045678
"v_f","LAM","USA",0.00113278987213081
"v_f","LAM","MEX",0.0163792129406578
"v_f","LAM","BRA",0.00255662138064607
"v_f","LAM","RUS",0.0509240846378742
"v_f","LAM","LAM",0.0180316768296853
"v_f","LAM","EUR",0.0489211578163768
"v_f","LAM","ROE",0.581230247152901
